"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"RSM00027612","MOSCOW, RS","2020-01-01","1.0",,
"RSM00027612","MOSCOW, RS","2020-01-02","3.0","1.7","-1.9"
"RSM00027612","MOSCOW, RS","2020-01-03","0.0","2.0",
"RSM00027612","MOSCOW, RS","2020-01-04","2.0",,"-1.3"
"RSM00027612","MOSCOW, RS","2020-01-05","0.0","1.3","-1.6"
"RSM00027612","MOSCOW, RS","2020-01-06","0.3","-0.1",
"RSM00027612","MOSCOW, RS","2020-01-07","0.0",,"-2.2"
"RSM00027612","MOSCOW, RS","2020-01-08","0.0","1.1","-0.8"
"RSM00027612","MOSCOW, RS","2020-01-09","3.3","2.2","-0.9"
"RSM00027612","MOSCOW, RS","2020-01-10","0.0","1.5",
"RSM00027612","MOSCOW, RS","2020-01-11",,,
"RSM00027612","MOSCOW, RS","2020-01-12","0.0","0.2","-6.0"
"RSM00027612","MOSCOW, RS","2020-01-13","3.6","2.5","-0.6"
"RSM00027612","MOSCOW, RS","2020-01-14","0.0","1.5",
"RSM00027612","MOSCOW, RS","2020-01-15","0.0","2.9","-1.3"
"RSM00027612","MOSCOW, RS","2020-01-16","1.3","3.1","2.3"
"RSM00027612","MOSCOW, RS","2020-01-17","1.0","4.5","2.3"
"RSM00027612","MOSCOW, RS","2020-01-18","0.0",,
"RSM00027612","MOSCOW, RS","2020-01-19","0.0",,"-1.5"
"RSM00027612","MOSCOW, RS","2020-01-20","0.0","2.9","0.2"
"RSM00027612","MOSCOW, RS","2020-01-21","5.1",,"0.8"
"RSM00027612","MOSCOW, RS","2020-01-22","3.3",,
"RSM00027612","MOSCOW, RS","2020-01-23","2.0",,
"RSM00027612","MOSCOW, RS","2020-01-24","4.1",,"-6.8"
"RSM00027612","MOSCOW, RS","2020-01-25","5.1","2.3",
"RSM00027612","MOSCOW, RS","2020-01-26","0.5",,"-1.6"
"RSM00027612","MOSCOW, RS","2020-01-27","2.0",,
"RSM00027612","MOSCOW, RS","2020-01-28","6.1",,"-6.2"
"RSM00027612","MOSCOW, RS","2020-01-29","0.5","1.2","-3.5"
"RSM00027612","MOSCOW, RS","2020-01-30","5.1",,
"RSM00027612","MOSCOW, RS","2020-01-31","0.5","1.8",
"RSM00027612","MOSCOW, RS","2020-02-01","0.5","2.2",
"RSM00027612","MOSCOW, RS","2020-02-02","7.6",,"-1.9"
"RSM00027612","MOSCOW, RS","2020-02-03","3.0",,
"RSM00027612","MOSCOW, RS","2020-02-04","0.8","-0.7",
"RSM00027612","MOSCOW, RS","2020-02-05","0.5","-3.6",
"RSM00027612","MOSCOW, RS","2020-02-06","3.3","-1.7","-7.8"
"RSM00027612","MOSCOW, RS","2020-02-07","0.0","-8.5",
"RSM00027612","MOSCOW, RS","2020-02-08","0.0","-6.6","-15.0"
"RSM00027612","MOSCOW, RS","2020-02-09","0.0","-1.0","-11.3"
"RSM00027612","MOSCOW, RS","2020-02-10","0.0","2.8","-2.0"
"RSM00027612","MOSCOW, RS","2020-02-11","6.1",,"-1.4"
"RSM00027612","MOSCOW, RS","2020-02-12","1.0","1.7",
"RSM00027612","MOSCOW, RS","2020-02-13","0.8","-0.8","-3.1"
"RSM00027612","MOSCOW, RS","2020-02-14","1.8","2.5","-1.6"
"RSM00027612","MOSCOW, RS","2020-02-15","0.0","2.2","-4.2"
"RSM00027612","MOSCOW, RS","2020-02-16","0.0","1.7","-2.9"
"RSM00027612","MOSCOW, RS","2020-02-17","0.5","5.7","1.4"
"RSM00027612","MOSCOW, RS","2020-02-18","0.0","6.0","3.8"
"RSM00027612","MOSCOW, RS","2020-02-19","0.0","4.7","2.9"
"RSM00027612","MOSCOW, RS","2020-02-20","0.0","7.7",
"RSM00027612","MOSCOW, RS","2020-02-21","0.0","7.8","-2.7"
"RSM00027612","MOSCOW, RS","2020-02-22","0.0","6.7","-1.6"
"RSM00027612","MOSCOW, RS","2020-02-23","7.9","2.7","0.5"
"RSM00027612","MOSCOW, RS","2020-02-24","0.0","4.6",
"RSM00027612","MOSCOW, RS","2020-02-25","0.0","2.6",
"RSM00027612","MOSCOW, RS","2020-02-26","3.0","1.9","-5.4"
"RSM00027612","MOSCOW, RS","2020-02-27","2.0","3.1","-0.3"
"RSM00027612","MOSCOW, RS","2020-02-28","0.5","3.3","-0.6"
"RSM00027612","MOSCOW, RS","2020-02-29","0.8","1.4",
"RSM00027612","MOSCOW, RS","2020-03-01","0.0",,"-3.3"
"RSM00027612","MOSCOW, RS","2020-03-02","7.1",,"2.1"
"RSM00027612","MOSCOW, RS","2020-03-03","3.6","4.9","2.2"
"RSM00027612","MOSCOW, RS","2020-03-04","0.0","7.2","3.2"
"RSM00027612","MOSCOW, RS","2020-03-05","0.0","7.6","2.4"
"RSM00027612","MOSCOW, RS","2020-03-06","1.0","6.4","3.7"
"RSM00027612","MOSCOW, RS","2020-03-07","0.0","12.0","5.5"
"RSM00027612","MOSCOW, RS","2020-03-08","2.3","8.6",
"RSM00027612","MOSCOW, RS","2020-03-09","0.0","12.0","1.0"
"RSM00027612","MOSCOW, RS","2020-03-10","15.0","8.2","4.3"
"RSM00027612","MOSCOW, RS","2020-03-11","0.8","9.0","4.2"
"RSM00027612","MOSCOW, RS","2020-03-12","1.8","9.1","4.2"
"RSM00027612","MOSCOW, RS","2020-03-13","3.8",,
"RSM00027612","MOSCOW, RS","2020-03-14","1.5","8.2",
"RSM00027612","MOSCOW, RS","2020-03-15","8.4","-2.0","-6.5"
"RSM00027612","MOSCOW, RS","2020-03-16","0.0","6.0","-8.7"
"RSM00027612","MOSCOW, RS","2020-03-17","0.0",,"0.5"
"RSM00027612","MOSCOW, RS","2020-03-18","0.0","10.5","1.8"
"RSM00027612","MOSCOW, RS","2020-03-19","0.0","11.0",
"RSM00027612","MOSCOW, RS","2020-03-20","0.3","5.8","1.4"
"RSM00027612","MOSCOW, RS","2020-03-21","0.0",,
"RSM00027612","MOSCOW, RS","2020-03-22","0.0","0.4","-5.4"
"RSM00027612","MOSCOW, RS","2020-03-23","0.0","1.6","-5.6"
"RSM00027612","MOSCOW, RS","2020-03-24","0.0","3.9","-4.6"
"RSM00027612","MOSCOW, RS","2020-03-25","0.0","12.2","-2.6"
"RSM00027612","MOSCOW, RS","2020-03-26","0.0","16.2","0.6"
"RSM00027612","MOSCOW, RS","2020-03-27","0.0","15.5","0.8"
"RSM00027612","MOSCOW, RS","2020-03-28","0.0","17.4","0.6"
"RSM00027612","MOSCOW, RS","2020-03-29","0.0","17.4","2.5"
"RSM00027612","MOSCOW, RS","2020-03-30","1.0",,
"RSM00027612","MOSCOW, RS","2020-03-31","5.1","-1.7",
"RSM00027612","MOSCOW, RS","2020-04-01","0.3","3.9","-7.6"
"RSM00027612","MOSCOW, RS","2020-04-02","0.5",,"0.6"
"RSM00027612","MOSCOW, RS","2020-04-03","0.0","10.5","3.5"
"RSM00027612","MOSCOW, RS","2020-04-04","1.0","8.0",
"RSM00027612","MOSCOW, RS","2020-04-05","0.0","5.0","-1.7"
"RSM00027612","MOSCOW, RS","2020-05-27","0.8","19.3","10.5"
"RSM00027612","MOSCOW, RS","2020-05-31","34.0","12.1",
"RSM00027612","MOSCOW, RS","2020-06-02","4.1","10.5","9.1"
"RSM00027612","MOSCOW, RS","2020-06-03","13.0","13.5","9.3"
"RSM00027612","MOSCOW, RS","2020-06-19","0.0","29.6","18.3"
"RSM00027612","MOSCOW, RS","2020-06-21","29.0","20.1","11.3"
"RSM00027612","MOSCOW, RS","2020-07-04","3.0","25.8","17.5"
"RSM00027612","MOSCOW, RS","2020-07-14","14.0","18.6","15.7"
"RSM00027612","MOSCOW, RS","2020-07-15","7.9",,"16.3"
"RSM00027612","MOSCOW, RS","2020-07-16","9.9","17.3","14.8"
"RSM00027612","MOSCOW, RS","2020-07-29","4.8","28.9","18.0"
"RSM00027612","MOSCOW, RS","2020-09-18","9.9","13.5","8.2"
"RSM00027612","MOSCOW, RS","2020-10-22","6.9","6.6","2.5"
"RSM00027612","MOSCOW, RS","2020-10-23","8.9","14.3","6.6"
"RSM00027612","MOSCOW, RS","2020-11-01","1.0",,
"RSM00027612","MOSCOW, RS","2020-11-02","2.0","6.6","3.9"
"RSM00027612","MOSCOW, RS","2020-11-03","0.5",,"5.8"
"RSM00027612","MOSCOW, RS","2020-11-04","0.0","9.6","7.8"
"RSM00027612","MOSCOW, RS","2020-11-05","3.3","8.7",
"RSM00027612","MOSCOW, RS","2020-11-06","4.6","7.3",
"RSM00027612","MOSCOW, RS","2020-11-07","0.0","9.9","4.4"
"RSM00027612","MOSCOW, RS","2020-11-08","5.3","10.0",
"RSM00027612","MOSCOW, RS","2020-11-09","0.0","2.4","-1.2"
"RSM00027612","MOSCOW, RS","2020-11-10","0.5","3.6","1.4"
"RSM00027612","MOSCOW, RS","2020-11-11","0.0","2.2",
"RSM00027612","MOSCOW, RS","2020-11-12","0.0","3.0","-2.9"
"RSM00027612","MOSCOW, RS","2020-11-13","0.3","4.4","2.5"
"RSM00027612","MOSCOW, RS","2020-11-14","0.0","3.4","0.4"
"RSM00027612","MOSCOW, RS","2020-11-15","0.0","1.5",
"RSM00027612","MOSCOW, RS","2020-11-16","0.0",,
"RSM00027612","MOSCOW, RS","2020-11-17","0.0","-3.5","-7.1"
"RSM00027612","MOSCOW, RS","2020-11-18","0.5","-1.1","-5.3"
"RSM00027612","MOSCOW, RS","2020-11-19","4.1","1.2","-2.6"
"RSM00027612","MOSCOW, RS","2020-11-20","4.1",,
"RSM00027612","MOSCOW, RS","2020-11-21","0.5","0.9","-0.4"
"RSM00027612","MOSCOW, RS","2020-11-22","3.0",,
"RSM00027612","MOSCOW, RS","2020-11-23","4.6",,"-2.2"
"RSM00027612","MOSCOW, RS","2020-11-24","4.1","3.2",
"RSM00027612","MOSCOW, RS","2020-11-25","0.8","2.2",
"RSM00027612","MOSCOW, RS","2020-11-26","4.1","1.5","-1.1"
"RSM00027612","MOSCOW, RS","2020-11-27","1.0","2.2","0.0"
"RSM00027612","MOSCOW, RS","2020-11-28","2.3","2.0","0.3"
"RSM00027612","MOSCOW, RS","2020-11-29","2.0","3.1","0.8"
"RSM00027612","MOSCOW, RS","2020-11-30","1.5",,
"RSM00027612","MOSCOW, RS","2020-12-01","2.5",,
"RSM00027612","MOSCOW, RS","2020-12-02","0.0",,
"RSM00027612","MOSCOW, RS","2020-12-03","0.0","-4.5","-8.0"
"RSM00027612","MOSCOW, RS","2020-12-04","1.0",,"-5.1"
"RSM00027612","MOSCOW, RS","2020-12-05","0.0","-3.4","-6.7"
"RSM00027612","MOSCOW, RS","2020-12-06","0.0","-2.8","-8.8"
"RSM00027612","MOSCOW, RS","2020-12-07","0.0","-4.1","-9.3"
"RSM00027612","MOSCOW, RS","2020-12-08","0.0","-4.9",
"RSM00027612","MOSCOW, RS","2020-12-09","0.0","-4.0","-12.2"
"RSM00027612","MOSCOW, RS","2020-12-10","0.0","-5.6","-12.6"
"RSM00027612","MOSCOW, RS","2020-12-11","0.0","-4.4","-9.7"
"RSM00027612","MOSCOW, RS","2020-12-12","0.0","-7.1","-11.1"
"RSM00027612","MOSCOW, RS","2020-12-13","2.5",,"-9.4"
"RSM00027612","MOSCOW, RS","2020-12-14","0.0",,
"RSM00027612","MOSCOW, RS","2020-12-15","5.3","-3.3","-5.8"
"RSM00027612","MOSCOW, RS","2020-12-16","0.0",,"-4.4"
"RSM00027612","MOSCOW, RS","2020-12-17","2.3","2.0","-1.6"
"RSM00027612","MOSCOW, RS","2020-12-18","0.0",,
"RSM00027612","MOSCOW, RS","2020-12-19","1.8",,
"RSM00027612","MOSCOW, RS","2020-12-20","0.5",,"-2.7"
"RSM00027612","MOSCOW, RS","2020-12-21","0.0","1.9","0.5"
"RSM00027612","MOSCOW, RS","2020-12-22","0.0",,
"RSM00027612","MOSCOW, RS","2020-12-23","0.0",,
"RSM00027612","MOSCOW, RS","2020-12-24","1.5",,"-7.5"
"RSM00027612","MOSCOW, RS","2020-12-25","8.9",,
"RSM00027612","MOSCOW, RS","2020-12-26","2.0","0.2","-4.3"
"RSM00027612","MOSCOW, RS","2020-12-27","1.0",,
"RSM00027612","MOSCOW, RS","2020-12-28","0.0","-5.6",
"RSM00027612","MOSCOW, RS","2020-12-29","0.0","-4.5","-10.5"
"RSM00027612","MOSCOW, RS","2020-12-30","1.0","-2.4","-5.2"
"RSM00027612","MOSCOW, RS","2020-12-31","0.5","0.5","-4.5"
"RSM00027612","MOSCOW, RS","2021-01-01","5.1","0.6","-1.5"
"RSM00027612","MOSCOW, RS","2021-01-02","6.1","0.8","-0.8"
"RSM00027612","MOSCOW, RS","2021-01-03","0.5","1.0","-0.6"
"RSM00027612","MOSCOW, RS","2021-01-04","2.0",,
"RSM00027612","MOSCOW, RS","2021-01-05","0.3","-0.6",
"RSM00027612","MOSCOW, RS","2021-01-06","0.8","-2.9","-3.9"
"RSM00027612","MOSCOW, RS","2021-01-07","4.3","-4.4","-5.5"
"RSM00027612","MOSCOW, RS","2021-01-08","0.5","-2.7","-5.4"
"RSM00027612","MOSCOW, RS","2021-01-09","1.3",,
"RSM00027612","MOSCOW, RS","2021-01-10","1.3",,"-9.1"
"RSM00027612","MOSCOW, RS","2021-01-11","0.5","-7.3","-9.5"
"RSM00027612","MOSCOW, RS","2021-01-12","0.8","-9.0",
"RSM00027612","MOSCOW, RS","2021-01-13","0.3","-10.2",
"RSM00027612","MOSCOW, RS","2021-01-14","10.9",,
"RSM00027612","MOSCOW, RS","2021-01-15","0.0","-13.3","-18.6"
"RSM00027612","MOSCOW, RS","2021-01-16","9.9",,
"RSM00027612","MOSCOW, RS","2021-01-17","1.0",,
"RSM00027612","MOSCOW, RS","2021-01-18","0.0","-14.9","-23.6"
"RSM00027612","MOSCOW, RS","2021-01-19","0.3",,"-17.5"
"RSM00027612","MOSCOW, RS","2021-01-20","0.8","-5.5","-12.2"
"RSM00027612","MOSCOW, RS","2021-01-21","4.1",,"-13.8"
"RSM00027612","MOSCOW, RS","2021-01-22","1.0",,"-9.4"
"RSM00027612","MOSCOW, RS","2021-01-23","0.0","1.9","-1.4"
"RSM00027612","MOSCOW, RS","2021-01-24","0.0",,"0.2"
"RSM00027612","MOSCOW, RS","2021-01-25","0.5",,
"RSM00027612","MOSCOW, RS","2021-01-26","0.5","2.3","-0.4"
"RSM00027612","MOSCOW, RS","2021-01-27","0.0","2.1",
"RSM00027612","MOSCOW, RS","2021-01-28","5.3","0.9","-1.3"
"RSM00027612","MOSCOW, RS","2021-01-29","2.8","1.4",
"RSM00027612","MOSCOW, RS","2021-01-30","3.0","-1.6","-3.2"
"RSM00027612","MOSCOW, RS","2021-01-31","4.1","-3.0","-4.5"
"RSM00027612","MOSCOW, RS","2021-02-01","0.3","-0.4",
"RSM00027612","MOSCOW, RS","2021-02-02","0.0","-3.1","-11.5"
"RSM00027612","MOSCOW, RS","2021-02-03","1.0",,"-9.5"
"RSM00027612","MOSCOW, RS","2021-02-04","4.1","-0.2",
"RSM00027612","MOSCOW, RS","2021-02-05","3.3",,"-11.9"
"RSM00027612","MOSCOW, RS","2021-02-06","0.0",,
"RSM00027612","MOSCOW, RS","2021-02-07","0.5","-11.3","-18.3"
"RSM00027612","MOSCOW, RS","2021-02-08","0.3","-9.8","-19.3"
"RSM00027612","MOSCOW, RS","2021-02-09","2.0","-12.1","-18.8"
"RSM00027612","MOSCOW, RS","2021-02-10",,,"-14.7"
"RSM00027612","MOSCOW, RS","2021-02-13",,"-12.6",
"RSM00027612","MOSCOW, RS","2021-02-14","1.8","-11.5","-15.7"
"RSM00027612","MOSCOW, RS","2021-02-15","0.0","-12.9","-18.6"
"RSM00027612","MOSCOW, RS","2021-02-16","1.0","-11.2","-22.2"
"RSM00027612","MOSCOW, RS","2021-02-17","1.5","-7.1",
"RSM00027612","MOSCOW, RS","2021-02-18","0.0","-12.7","-19.2"
"RSM00027612","MOSCOW, RS","2021-02-19",,,"-18.4"
"RSM00027612","MOSCOW, RS","2021-02-22","1.0",,
"RSM00027612","MOSCOW, RS","2021-02-23","0.0","-15.9","-24.5"
"RSM00027612","MOSCOW, RS","2021-02-24","2.0","-12.1","-16.9"
"RSM00027612","MOSCOW, RS","2021-02-25","7.1","2.6","-12.7"
"RSM00027612","MOSCOW, RS","2021-02-26","1.5","6.4","2.1"
"RSM00027612","MOSCOW, RS","2021-02-27","1.0",,
"RSM00027612","MOSCOW, RS","2021-02-28","0.8","2.1","-1.0"
"RSM00027612","MOSCOW, RS","2021-03-01","0.0",,"-1.7"
"RSM00027612","MOSCOW, RS","2021-03-02","0.5","5.4",
"RSM00027612","MOSCOW, RS","2021-03-03","0.3","3.4","-2.4"
"RSM00027612","MOSCOW, RS","2021-03-04","1.5","2.5",
"RSM00027612","MOSCOW, RS","2021-03-05","1.0","-1.1",
"RSM00027612","MOSCOW, RS","2021-03-06","0.0","-3.8","-11.0"
"RSM00027612","MOSCOW, RS","2021-03-07","3.8","-1.9","-7.9"
"RSM00027612","MOSCOW, RS","2021-03-08","3.6","-4.9",
"RSM00027612","MOSCOW, RS","2021-03-09","0.0","-10.3",
"RSM00027612","MOSCOW, RS","2021-03-10","0.0","-12.3","-21.3"
"RSM00027612","MOSCOW, RS","2021-03-11","0.0","-5.9","-20.7"
"RSM00027612","MOSCOW, RS","2021-03-12","0.0","-4.7","-14.8"
"RSM00027612","MOSCOW, RS","2021-03-13","3.0",,"-7.6"
"RSM00027612","MOSCOW, RS","2021-03-14","3.3","2.7","-2.2"
"RSM00027612","MOSCOW, RS","2021-03-15","4.1",,
"RSM00027612","MOSCOW, RS","2021-03-16","1.0","3.3","-0.4"
"RSM00027612","MOSCOW, RS","2021-03-17","0.0","2.6",
"RSM00027612","MOSCOW, RS","2021-03-18","0.3","2.5","-1.3"
"RSM00027612","MOSCOW, RS","2021-03-19","1.0","2.2",
"RSM00027612","MOSCOW, RS","2021-03-20","0.0","1.0","-6.1"
"RSM00027612","MOSCOW, RS","2021-03-21","1.5","2.4","-5.0"
"RSM00027612","MOSCOW, RS","2021-03-22","1.5","3.1","-1.2"
"RSM00027612","MOSCOW, RS","2021-03-23","0.0","1.1",
"RSM00027612","MOSCOW, RS","2021-03-24","0.0","6.8","-8.2"
"RSM00027612","MOSCOW, RS","2021-03-25","0.0","11.6","-1.4"
"RSM00027612","MOSCOW, RS","2021-03-26","0.0","9.8","-2.1"
"RSM00027612","MOSCOW, RS","2021-03-27","0.0","9.7",
"RSM00027612","MOSCOW, RS","2021-03-28","0.0","12.0","-3.2"
"RSM00027612","MOSCOW, RS","2021-03-29","0.0","8.5","-3.4"
"RSM00027612","MOSCOW, RS","2021-03-30","1.0","8.0","0.2"
"RSM00027612","MOSCOW, RS","2021-03-31","7.4",,"1.9"
"RSM00027612","MOSCOW, RS","2021-04-01","4.1","8.8",
"RSM00027612","MOSCOW, RS","2021-04-21","12.2","6.4","0.4"
"RSM00027612","MOSCOW, RS","2021-04-22","0.0","15.9","5.3"
"RSM00027612","MOSCOW, RS","2021-05-13","0.0","19.8","8.5"
"RSM00027612","MOSCOW, RS","2021-05-28","1.0","23.5","14.9"
"RSM00027612","MOSCOW, RS","2021-06-07","0.8","23.5","14.2"
"RSM00027612","MOSCOW, RS","2021-06-08","2.0","24.4","13.5"
"RSM00027612","MOSCOW, RS","2021-06-10","7.9","16.5","13.7"
"RSM00027612","MOSCOW, RS","2021-06-11","18.0","17.8","12.8"
"RSM00027612","MOSCOW, RS","2021-06-29","0.5","21.5",
